,pi,ro,collab,institute,scope
0,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,NIMH
1,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Joyce  Chung, MD",Office of the Clinical Director,NIMH
2,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH
3,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Emily Suzanne Finn, PhD",Section on Functional Imaging Methods,NIMH
4,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Michael David Gregory, MD",Clinical and Translational Neuroscience Branch,NIMH
5,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
6,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
7,"Adam G Thomas, DPhil",Data Science and Sharing Team,"David Coulter Jangraw, PhD",Section on Development and Affective Neuroscience,NIMH
8,"Adam G Thomas, DPhil",Data Science and Sharing Team,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
9,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH
10,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Siyuan  Liu, PhD",Unit on Developmental Neurogenomics,NIMH
11,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
12,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Peter James Molfese, PhD",Section on Functional Imaging Methods,NIMH
13,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dylan M Nielson, PhD",Mood Brain & Development Unit,NIMH
14,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
15,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
16,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
17,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
26,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
27,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
28,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH
29,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH
30,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter James Molfese, PhD",Section on Functional Imaging Methods,NIMH
31,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
32,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
37,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH
38,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH
39,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
40,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
41,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Joyce  Chung, MD",Office of the Clinical Director,NIMH
42,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH
43,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH
44,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH
45,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH
46,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
47,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH
48,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,NIMH
49,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
50,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
64,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
65,"Argyrios  Stringaris, PhD",Mood Brain & Development Unit,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
66,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
67,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH
68,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,"Francisco  Pereira, PhD",Machine Learning Team,NIMH
69,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
90,Ashura  Buckley,Sleep and Neurodevelopment Service,"Cristan Ann Farmer, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
109,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH
110,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
111,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
112,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,"Carolyn E Smith, PhD",Section on Neuro-adaptation and Protein Metabolism,NIMH
148,"Barbara K Lipska, PhD",Human Brain Collection Core,Nirmala  Akula,Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
149,"Barbara K Lipska, PhD",Human Brain Collection Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
150,"Barbara K Lipska, PhD",Human Brain Collection Core,"Miles  Herkenham, PhD",Section on Functional Neroanatomy,NIMH
151,"Barbara K Lipska, PhD",Human Brain Collection Core,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH
152,"Barbara K Lipska, PhD",Human Brain Collection Core,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH
153,"Barbara K Lipska, PhD",Human Brain Collection Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
187,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Gang  Chen, PhD",Scientific and Statistical Computing Core,NIMH
188,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH
189,"Barry J Richmond, MD",Section on Neural Coding and Computation,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,NIMH
