pi,ro,collab,institute,scope,collabing_pi
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Joyce  Chung, MD",Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH,"Robert  Cox, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Emily Suzanne Finn, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Michael David Gregory, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"David Coulter Jangraw, PhD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Siyuan  Liu, PhD",Unit on Developmental Neurogenomics,NIMH,"Armin  Raznahan, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Peter James Molfese, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dylan M Nielson, PhD",Mood Brain & Development Unit,NIMH,"Argyrios  Stringaris, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH,"Armin  Raznahan, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH,"Audrey E Thurm, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Max  Bertolero,University of Pennsylvania,EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Melanie  Ganz,University of Copenhagen,EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Douglas  Greve,"Mass. Genl Hospital, Martinos Center",EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Gitte  Knudsen,"University of Copenhagen, Neurobiology Research Unit",EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Russel A Poldrack,"Stanford University, Dept. of Psychology",EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Alan Paul Koretsky, PhD",NINDS,NIH,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Zhiwei  Ma,NINDS,NIH,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Phillip   Shaw, MD",NHGRI,NIH,
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH,"Robert  Cox, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter James Molfese, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,J  Power,"Weill Cornell Medicine, Department of Psychiatry",EM,
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,Avniel  Ghuman,University of Pittsburgh,EM,
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Sara K Inati, MD",NINDS,NIH,
"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Kareem Amir Zaghloul, MD, PhD",NINDS,NIH,
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH,"George Raphael Dold, MS"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Joyce  Chung, MD",Office of the Clinical Director,NIMH,"Maryland  Pao, BA, MD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH,"Robert  Cox, PhD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH,"George Raphael Dold, MS"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH,"Christian  Grillon, PhD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
