@_fa,citedby-count,dc:creator,dc:identifier,dc:title,eid,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:coverDisplayDate,prism:doi,prism:eIssn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,source-id,subtype,subtypeDescription
true,1294,Smoller J.,SCOPUS_ID:84876296688,Identification of risk loci with shared effects on five major psychiatric disorders: A genome-wide analysis,2-s2.0-84876296688,0,False,S0140673612621291,Journal,2013-04-01,1 April 2013,10.1016/S0140-6736(12)62129-1,1474547X,01406736,9875,1371-1379,The Lancet,https://api.elsevier.com/content/abstract/scopus_id/84876296688,381,23453885,16590,ar,Article
true,925,Lee S.,SCOPUS_ID:84883465830,Genetic relationship between five psychiatric disorders estimated from genome-wide SNPs,2-s2.0-84883465830,0,False,NG2711,Journal,2013-09-01,September 2013,10.1038/ng.2711,15461718,10614036,9,984-994,Nature Genetics,https://api.elsevier.com/content/abstract/scopus_id/84883465830,45,23933821,18990,ar,Article
true,685,Hutchison R.,SCOPUS_ID:84880333792,"Dynamic functional connectivity: Promise, issues, and interpretations",2-s2.0-84880333792,0,False,S105381191300579X,Journal,2013-10-15,15 October 2013,10.1016/j.neuroimage.2013.05.079,10959572,10538119,,360-378,NeuroImage,https://api.elsevier.com/content/abstract/scopus_id/84880333792,80,23707587,17495,ar,Article
true,561,Oh S.,SCOPUS_ID:84898684536,A mesoscale connectome of the mouse brain,2-s2.0-84898684536,0,False,,Journal,2014-04-10,10 April 2014,10.1038/nature13186,14764687,00280836,7495,207-214,Nature,https://api.elsevier.com/content/abstract/scopus_id/84898684536,508,24695228,21206,ar,Article
true,537,Landis S.,SCOPUS_ID:84867302438,A call for transparent reporting to optimize the predictive value of preclinical research,2-s2.0-84867302438,1,True,NATURE11556,Journal,2012-10-11,11 October 2012,10.1038/nature11556,14764687,00280836,7419,187-191,Nature,https://api.elsevier.com/content/abstract/scopus_id/84867302438,490,23060188,21206,re,Review
true,497,Gass M.,SCOPUS_ID:84857508749,The 2012 hormone therapy position statement of the North American Menopause Society,2-s2.0-84857508749,0,False,0004219220120300000005,Journal,2012-03-01,March 2012,10.1097/gme.0b013e31824b970a,15300374,10723714,3,257-271,Menopause,https://api.elsevier.com/content/abstract/scopus_id/84857508749,19,22367731,27666,ar,Article
true,423,Morgan R.,SCOPUS_ID:84873991752,Cancer regression and neurological toxicity following anti-MAGE-A3 TCR gene therapy,2-s2.0-84873991752,0,False,,Journal,2013-02-01,February 2013,10.1097/CJI.0b013e3182829903,15374513,15249557,2,133-151,Journal of Immunotherapy,https://api.elsevier.com/content/abstract/scopus_id/84873991752,36,23377668,110112,ar,Article
true,351,Zarate C.,SCOPUS_ID:84861099072,Replication of ketamine's antidepressant efficacy in bipolar depression: A randomized controlled add-on trial,2-s2.0-84861099072,0,False,S0006322311012108,Journal,2012-06-01,1 June 2012,10.1016/j.biopsych.2011.12.010,18732402,00063223,11,939-946,Biological Psychiatry,https://api.elsevier.com/content/abstract/scopus_id/84861099072,71,22297150,14308,ar,Article
true,295,Kravitz D.,SCOPUS_ID:84871721471,The ventral visual pathway: An expanded neural framework for the processing of object quality,2-s2.0-84871721471,0,False,S1364661312002471,Journal,2013-01-01,January 2013,10.1016/j.tics.2012.10.011,1879307X,13646613,1,26-49,Trends in Cognitive Sciences,https://api.elsevier.com/content/abstract/scopus_id/84871721471,17,23265839,15359,re,Review
true,288,Raznahan A.,SCOPUS_ID:79956325555,How does your cortex grow?,2-s2.0-79956325555,1,True,,Journal,2011-05-11,11 May 2011,10.1523/JNEUROSCI.0054-11.2011,15292401,02706474,19,7174-7177,Journal of Neuroscience,https://api.elsevier.com/content/abstract/scopus_id/79956325555,31,21562281,16764,ar,Article
